key,continent,population,sante,richesse
Afghanistan,asia,32526562,52.72,1925
Albania,europe,2896679,78.1,10620
Algeria,africa,39666519,76.5,13434
Andorra,europe,70473,84.8,46577
Angola,africa,25021974,60,7615
Antigua and Barbuda,americas,91818,76.5,21049
Argentina,americas,43416755,76.7,17344
Armenia,europe,3017712,74.9,7763
Aruba,americas,103889,75.85,37138
Australia,asia,23968973,82.3,44056
Austria,europe,8544586,81.4,44401
Azerbaijan,europe,9753968,73.3,16986
Bahamas,americas,388019,73.9,22818
Bahrain,asia,1377237,79.1,44138
Bangladesh,asia,160995642,70.7,3161
Barbados,americas,284215,75.8,12984
Belarus,europe,9495826,71.3,17415
Belgium,europe,11299192,80.5,41240
Belize,americas,359287,71.9,8501
Benin,africa,10879829,62.6,1830
Bermuda,americas,62004,78.6,47081
Bhutan,asia,774830,73,7983
Bolivia,americas,10724705,73.5,6295
Bosnia and Herzegovina,europe,3810416,79.1,9833
Botswana,africa,2262485,60.13,17196
Brazil,americas,207847528,74.5,15441
Brunei,asia,423188,77.1,73003
Bulgaria,europe,7149787,74.9,16371
Burkina Faso,africa,18105570,61.2,1654
Burundi,africa,11178921,61.4,777
Cambodia,asia,15577899,69.7,3267
Cameroon,africa,23344179,59.7,2897
Canada,americas,35939927,81.7,43294
Cape Verde,africa,520502,73.1,6514
Central African Republic,africa,4900274,51.04,599
Chad,africa,14037472,58.01,2191
Chile,americas,17948141,79.6,22465
China,asia,1376048943,76.5,13334
Colombia,americas,48228704,78.2,12761
Comoros,africa,788474,68.2,1472
"Congo, Dem. Rep.",africa,77266814,61.51,809
"Congo, Rep.",africa,4620330,61.5,6220
Costa Rica,americas,4807850,80.4,14132
Cote d'Ivoire,africa,22701556,59.71,3491
Croatia,europe,4240317,77.8,20260
Cuba,americas,11389562,78.3,21291
Cyprus,europe,1165300,81.9,29797
Czech Republic,europe,10543186,79,29437
Denmark,europe,5669081,80.5,43495
Djibouti,africa,887861,64.51,3139
Dominica,americas,72680,73.2,10503
Dominican Republic,americas,10528391,75.5,12837
Ecuador,americas,16144363,76,10996
Egypt,africa,91508084,71.7,11031
El Salvador,americas,6126583,75,7776
Equatorial Guinea,africa,845060,61,31087
Eritrea,africa,5227791,60.8,1129
Estonia,europe,1312558,78,26812
Ethiopia,africa,99390750,65.7,1520
Fiji,asia,892145,65.9,7925
Finland,europe,5503457,80.9,38923
France,europe,64395345,81.9,37599
Gabon,africa,1725292,66.81,18627
Gambia,africa,1990924,68.2,1644
Georgia,europe,3999812,73.2,7474
Germany,europe,80688545,80.9,44053
Ghana,africa,27409893,65.8,4099
Greece,europe,10954617,81,25430
Greenland,europe,56186,72.2,27763
Grenada,americas,106825,71.6,11593
Guatemala,americas,16342897,72.8,7279
Guinea,africa,12608590,59.6,1225
Guinea-Bissau,africa,1844325,55.9,1386
Guyana,americas,767085,67.2,6816
Haiti,americas,10711067,64.8,1710
Honduras,americas,8075060,73.2,4270
"Hong Kong, China",asia,7287983,83.9,53874
Hungary,europe,9855023,76.9,24200
Iceland,europe,329425,83.3,42182
India,asia,1311050527,67.5,5903
Indonesia,asia,257563815,71.4,10504
Iran,asia,79109272,74.6,15573
Iraq,asia,36423395,67.1,14646
Ireland,europe,4688465,81.8,47758
Israel,asia,8064036,82.91,31590
Italy,europe,59797685,82.3,33297
Jamaica,americas,2793335,75.2,8606
Japan,asia,126573481,83.3,36162
Jordan,asia,7594547,78.6,11752
Kazakhstan,asia,17625226,70.2,23468
Kenya,africa,46050302,65.2,2898
Kiribati,asia,112423,63.2,1824
North Korea,asia,25155317,72.3,1390
South Korea,asia,50293439,81.1,34644
Kuwait,asia,3892115,80.4,82633
Kyrgyz Republic,asia,5939962,70,3245
Lao,asia,6802023,67.6,5212
Latvia,europe,1970503,75.6,23282
Lebanon,asia,5850743,79.1,17050
Lesotho,africa,2135022,48.86,2598
Liberia,africa,4503438,64.63,958
Libya,africa,6278438,73.21,17261
Lithuania,europe,2878405,75.4,26665
Luxembourg,europe,567110,82.3,88314
"Macao, China",asia,587606,81.03,148374
"Macedonia, FYR",europe,2078453,76.8,12547
Madagascar,africa,24235390,63.7,1400
Malawi,africa,17215232,60.9,799
Malaysia,asia,30331007,75.5,24320
Maldives,asia,363657,80,14408
Mali,africa,17599694,60.4,1684
Malta,europe,418670,82.2,30265
Marshall Islands,asia,52993,67.1,3661
Mauritania,africa,4067564,69.8,3877
Mauritius,africa,1273212,74.7,18350
Mexico,americas,127017224,76.2,16850
"Micronesia, Fed. Sts.",asia,104460,69,3510
Moldova,europe,4068897,74.2,4896
Mongolia,asia,2959134,67.4,11819
Montenegro,europe,625781,77.3,14833
Morocco,africa,34377511,74.8,7319
Mozambique,africa,27977863,58.12,1176
Myanmar,asia,53897154,68.4,4012
Namibia,africa,2458830,64.3,10040
Nepal,asia,28513700,69.2,2352
Netherlands,europe,16924929,81.3,45784
New Zealand,asia,4528526,81.4,34186
Nicaragua,americas,6082032,78.2,4712
Niger,africa,19899120,61.3,943
Nigeria,africa,182201962,65.51,5727
Norway,europe,5210967,82,64304
Oman,asia,4490541,77.4,48226
Pakistan,asia,188924874,66.2,4743
Panama,americas,3929141,78.5,20485
Papua New Guinea,asia,7619321,61.3,2529
Paraguay,americas,6639123,74.5,8219
Peru,americas,31376670,79.7,11903
Philippines,asia,100699395,71.3,6876
Poland,europe,38611794,77.8,24787
Portugal,europe,10349803,80.9,26437
Puerto Rico,americas,3683238,78.8,33604
Qatar,asia,2235355,79.6,132877
Romania,europe,19511324,75.3,19203
Russia,europe,143456918,71.1,23038
Rwanda,africa,11609666,66.1,1549
St. Lucia,americas,184999,74.8,9997
St. Vincent and the Grenadines,americas,109462,71.3,10435
Samoa,asia,193228,73.3,5558
Sao Tome and Principe,africa,190344,68.2,3003
Saudi Arabia,asia,31540372,79.6,52469
Senegal,africa,15129273,65.6,2251
Serbia,europe,8850975,76.5,12908
Seychelles,africa,96471,74.2,25684
Sierra Leone,africa,6453184,59.07,2085
Singapore,asia,5603740,82.1,80794
Slovak Republic,europe,5426258,77.8,27204
Slovenia,europe,2067526,81,28550
Solomon Islands,asia,583591,64.4,2047
Somalia,africa,10787104,54.1,624
South Africa,africa,54490406,61.4,12509
Spain,europe,46121699,82.7,32979
Sri Lanka,asia,20715010,77.8,10624
Sudan,africa,40234882,67.8,3975
Suriname,americas,542975,72.2,17125
Swaziland,africa,1286970,53.88,6095
Sweden,europe,9779426,82.1,44892
Switzerland,europe,8298663,83.1,56118
Syria,asia,18502413,69.21,4637
Taiwan,asia,23151000,79.6,42948
Tajikistan,asia,8481855,72.9,2582
Tanzania,africa,53470420,64.91,2571
Thailand,asia,67959359,74.8,14512
Timor-Leste,asia,1184765,72.5,2086
Togo,africa,7304578,61.9,1433
Tonga,asia,106170,71.7,5069
Trinidad and Tobago,americas,1360088,72.5,30113
Tunisia,africa,11253554,77.6,11126
Turkey,europe,78665830,79.3,19360
Turkmenistan,asia,5373502,70.4,15865
Uganda,africa,39032383,61.91,1680
Ukraine,europe,44823765,71.7,8449
United Arab Emirates,asia,9156963,75.4,60749
United Kingdom,europe,64715810,81.1,38225
United States,americas,321773631,79.1,53354
Uruguay,americas,3431555,77,20438
Uzbekistan,asia,29893488,72.1,5598
Vanuatu,asia,264652,65.1,2912
Venezuela,americas,31108083,74.8,15753
West Bank and Gaza,asia,4668466,74.7,4319
Vietnam,asia,93447601,75.6,5623
Yemen,asia,26832215,64.92,3887
Zambia,africa,16211767,57.1,4034
Zimbabwe,africa,15602751,61.69,1801
South Sudan,africa,12339812,56.1,3047
